input_length,exact_match,char_edit_dist,token_edit_dist,accept_rate_1,accept_rate_2,accept_rate_3,accept_rate_4,accept_rate_5
142,0,1259,1258,0.7012,0.3305,0.2126,0.3567,0.1111
143,0,1299,1261,0.8949,0.769,0.6764,0.6203,0.2695
143,0,1359,1257,0.9342,0.8813,0.6679,0.4921,0.3333
143,0,1370,1265,0.9607,0.8419,0.5791,0.4685,0.3176
143,0,1424,1266,0.8685,0.598,0.4524,0.4334,0.1971
144,0,1348,1256,0.8599,0.7475,0.6242,0.5602,0.4151
144,0,1257,1257,0.2988,0.2618,0.2448,0.3202,0.1176
144,0,5153,1256,0.8292,0.8355,0.8089,0.8331,0.8237
144,0,1368,1256,0.8649,0.6345,0.4667,0.3961,0.3254
144,0,1331,1259,0.8628,0.721,0.6492,0.5587,0.4029
144,0,1353,1256,0.7219,0.5744,0.4424,0.2042,0.0803
144,0,3554,1256,0.7119,0.8963,0.6779,0.6203,0.7477
144,0,1346,1256,0.9207,0.8298,0.7366,0.6354,0.4007
144,0,3645,1256,0.9142,0.8977,0.6979,0.7357,0.7778
144,0,1384,1256,0.8713,0.6423,0.544,0.3682,0.2158
144,0,1436,1256,0.8485,0.5329,0.378,0.2865,0.2287
144,0,4997,1256,0.8578,0.867,0.8196,0.8274,0.828
144,0,4378,1256,0.9199,0.8984,0.8082,0.8209,0.7749
144,0,3617,1256,0.9078,0.8305,0.5748,0.5774,0.5412
144,0,4284,1256,0.9107,0.8784,0.7924,0.8238,0.7534
145,0,1255,1255,0.8227,0.515,0.388,0.3259,0.1176
145,0,1275,1255,0.9099,0.8419,0.67,0.361,0.3032
145,0,1374,1255,0.8956,0.5987,0.4968,0.4277,0.2129
146,0,4786,1254,0.8928,0.8827,0.8432,0.8474,0.7921
146,0,4912,1254,0.9128,0.9006,0.8325,0.8574,0.8287
146,0,4746,1254,0.9071,0.8927,0.8375,0.8625,0.8201
146,0,3812,1254,0.7491,0.8076,0.6571,0.6404,0.6688
146,0,4888,1254,0.8849,0.867,0.8203,0.8338,0.8158
146,0,1350,1254,0.867,0.7439,0.5276,0.3782,0.3233
146,0,1316,1254,0.8878,0.8076,0.7187,0.6476,0.4789
146,0,4912,1254,0.8813,0.8784,0.8418,0.8345,0.8007
146,0,4912,1254,0.9164,0.9041,0.8189,0.8238,0.805
146,0,5038,1254,0.8871,0.8963,0.8389,0.836,0.8086
146,0,3853,1254,0.9285,0.9006,0.7108,0.7328,0.772
146,0,4778,1254,0.9085,0.902,0.8325,0.8517,0.8108
146,0,4912,1254,0.8792,0.8734,0.8368,0.8453,0.8143
146,0,5030,1254,0.8742,0.8834,0.8346,0.8345,0.8086
146,0,4981,1254,0.8685,0.8605,0.8225,0.8252,0.8086
146,0,4141,1254,0.8985,0.8627,0.7387,0.7629,0.6989
146,0,3393,1254,0.7898,0.8999,0.67,0.6476,0.6996
146,0,4790,1254,0.9064,0.8913,0.8218,0.8474,0.8172
146,0,3610,1254,0.777,0.8033,0.6135,0.6103,0.5935
146,0,1328,1254,0.772,0.5701,0.3772,0.351,0.1405
146,0,3881,1254,0.8485,0.9299,0.733,0.7056,0.7828
146,0,4888,1254,0.8935,0.9034,0.8518,0.8567,0.8143
146,0,4516,1254,0.9235,0.8913,0.8203,0.841,0.7821
146,0,5126,1254,0.8728,0.877,0.7953,0.8216,0.8387
